Prompt,Noise_index,Noise,Distance,score,which_folder,cache,nocache,retrieve
succulent plant in a little white pot over a bookcase. Front view.,35739,"succulents in pots, inside of a mediterranean house",tensor(0.7267),0.7267,10,cache/cache_0_image.png,nocache/nocache_0_image.png,retrieve/retrieve_0_image.png
a cute humanoid robot laughing in minimalism style,33466,friendly modern robot character thinking,tensor(0.8297),0.8297,15,cache/cache_1_image.png,nocache/nocache_1_image.png,retrieve/retrieve_1_image.png
boy living on desert,33707,walking in the desert with a giant man,tensor(0.8359),0.8359,15,cache/cache_2_image.png,nocache/nocache_2_image.png,retrieve/retrieve_2_image.png
arabesque architecture,19774,architectural dress design art,tensor(0.7892),0.7892,10,cache/cache_3_image.png,nocache/nocache_3_image.png,retrieve/retrieve_3_image.png
"An ultra realistic image of a panther in boxing ring, boxing gloves on knocked out on floor",10179,detailed high-quality digital art of two robots fighting in a boxing ring,tensor(0.7877),0.7877,10,cache/cache_4_image.png,nocache/nocache_4_image.png,retrieve/retrieve_4_image.png
a popped champagne bottle with flowers around it in honor of a great victory,428,vines and flowers in a bottle,tensor(0.7360),0.736,10,cache/cache_5_image.png,nocache/nocache_5_image.png,retrieve/retrieve_5_image.png
"colorful birthday piece of cake on a plate, next to a full cake, where the photo perpective is from bellow",9270,A birthday cake with colorful balloons in the backround,tensor(0.7884),0.7884,10,cache/cache_6_image.png,nocache/nocache_6_image.png,retrieve/retrieve_6_image.png
"Post-apocalyptic compact Japanese garden, visible roots, Sakura trees in bloom, Cuboid greenhouse , patio with elevations, overgrown crystal clear blue pond with underwater seaweed, mossy step stones, decay, shadows, captures the essence of a tranquil retreat, inviting the viewer to imagine the serenity of life within this abandoned abstract sanctuary, hyper detailed, early misty morning",17691,"Post-apocalyptic compact Japanese garden, visible roots, Sakura trees in bloom, Cuboid futuristic greenhouse , patio with elevations, overgrown crystal clear blue pond with underwater seaweed, mossy step stones, decay, shadows, captures the essence of a tranquil retreat, inviting the viewer to imagine the serenity of life within this abandoned abstract sanctuary, hyper detailed, early misty morning",tensor(0.9891),0.9891,20,cache/cache_7_image.png,nocache/nocache_7_image.png,retrieve/retrieve_7_image.png
classical samurai castle with walls in the sunset mountain,26379,Dark huge Chinese castle in the mountains,tensor(0.8143),0.8143,15,cache/cache_8_image.png,nocache/nocache_8_image.png,retrieve/retrieve_8_image.png
"a underwater close-up photo of a taiwanese young doctor men is Retrain at the hospital and shows off their thick pecs with thick eyebrows, affectionate big handsome eyes , Asian face, handsomely, Beard, six pack and chest hair, who needs to be wear black-rimmed glasses, wear stethoscope on neck, a lot Camouflage painting, hands on the floor, Kneeling on the ground, only wear one wide open doctor's gown that are not buttoned up for Looking blankly at camera.",3510,"a photo of a taiwanese young men is in the Space capsule and shows off their thick pecs with thick eyebrows, affectionate big handsome eyes , Asian face, handsomely, Beard, six pack and chest hair, who needs to be wear black-rimmed glasses, half-dressed, Limbs spread out and float, in half-dressed for Looking blankly at camera.",tensor(0.7283),0.7283,10,cache/cache_9_image.png,nocache/nocache_9_image.png,retrieve/retrieve_9_image.png
grey stone colours,5838,Stone texture hyperdetailed hyperrealistic,tensor(0.7488),0.7488,10,cache/cache_12_image.png,nocache/nocache_12_image.png,retrieve/retrieve_12_image.png
a simple black vector graphic of a silhouette of a futuristic city,8493,black and white tech pattern logo,tensor(0.7829),0.7829,10,cache/cache_13_image.png,nocache/nocache_13_image.png,retrieve/retrieve_13_image.png
baby angel cute precious moments style,51,baby angel is doing magic,tensor(0.7643),0.7643,10,cache/cache_14_image.png,nocache/nocache_14_image.png,retrieve/retrieve_14_image.png
